Genome Number	NCBI Accession	
116	GCA_020176805.1	
117	GCA_020179775.1	
118	GCA_020256445.1	
119	GCA_020311635.1	
120	GCA_020536055.1	
121	GCA_020971785.1	
122	GCA_021128895.1	
123	GCA_021233135.1	
124	GCA_021991685.1	Abandoned
125	GCA_900156245.1	
126	GCA_900245865.1	
127	GCF_000195515.1	
128	GCF_000196735.1	
129	GCF_000204275.1	
130	GCF_000221645.1	
131	GCF_000242855.2	
132	GCF_000262385.1	
133	GCF_000465655.1	
134	GCF_000469015.1	
135	GCF_000469015.2	
136	GCF_000494835.1	
137	GCF_000508265.1	
138	GCF_000559145.1	
139	GCF_000750045.1	
140	GCF_000784675.1	
141	GCF_000835145.1	
142	GCF_001077735.1	
143	GCF_001278635.1	
144	GCF_001286945.1	
145	GCF_001286965.1	
146	GCF_001294785.1	
147	GCF_001431285.1	
148	GCF_001469685.1	
149	GCF_001483885.1	
150	GCF_001558705.1	
151	GCF_001586105.1	
152	GCF_001587325.1	
153	GCF_001587435.1	
154	GCF_001593765.1	
155	GCF_001593785.1	
156	GCF_001596755.1	
157	GCF_001617995.1	
158	GCF_001619745.1	
159	GCF_001672615.1	
160	GCF_001687185.1	
161	GCF_001705195.1	
162	GCF_001866745.1	
163	GCF_001874385.1	
164	GCF_001889285.1	
165	GCF_001922005.1	
166	GCF_002024555.1	
167	GCF_002173635.1	
168	GCF_002209305.1	
169	GCF_002864145.1	
170	GCF_003149695.1	
171	GCF_003149715.1	
172	GCF_003149795.1	
173	GCF_003312895.1	
174	GCF_003337795.1	
175	GCF_003382375.1	
176	GCF_003546075.1	
177	GCF_003868675.1	
178	GCF_004006115.1	
179	GCF_004421045.1	
180	GCF_004804235.1	
181	GCF_004804245.1	
182	GCF_005048195.1	
183	GCF_007362635.1	
184	GCF_007827165.1	
185	GCF_007844995.1	
186	GCF_007845085.1	
187	GCF_007923205.1	
188	GCF_008017555.1	
189	GCF_008017565.1	
190	GCF_008017625.1	
191	GCF_008534375.1	
192	GCF_008808015.1	
193	GCF_008824205.1	
194	GCF_009933355.1	
195	GCF_011317125.1	
196	GCF_011421515.1	
197	GCF_011440355.1	
198	GCF_011754125.1	
199	GCF_013122255.1	
200	GCF_013328835.1	
201	GCF_013341255.1	
202	GCF_013346105.1	
203	GCF_013346165.1	
204	GCF_013346175.1	
205	GCF_013346205.1	
206	GCF_013346215.1	
207	GCF_013346225.1	
208	GCF_013346265.1	
209	GCF_013346285.1	
210	GCF_013346305.1	
211	GCF_013423695.1	
212	GCF_014622745.1	
213	GCF_014791945.1	
214	GCF_014792065.1	
215	GCF_014840205.1	
216	GCF_014840205.2	
217	GCF_014854735.1	
218	GCF_014930895.1	
219	GCF_015845485.1	
220	GCF_015880875.1	
221	GCF_015999565.1	
222	GCF_017357905.1	
223	GCF_017592865.1	
224	GCF_017603845.1	
225	GCF_017815555.1	
226	GCF_017824715.1	
227	GCF_017948535.1	
228	GCF_018223605.1	
229	GCF_018363035.1	
230	GCF_018502525.1	
231	GCF_018791865.1	
232	GCF_019093835.1	
233	GCF_019396925.1	
234	GCF_019458745.1	
235	GCF_019458775.1	
236	GCF_019459645.1	
237	GCF_019856555.1	
238	GCF_019880285.1	
239	GCF_019880325.1	
240	GCF_019880425.1	
241	GCF_019997305.1	
242	GCF_020176805.1	
243	GCF_020179775.1	
244	GCF_020256445.1	
245	GCF_020311635.1	
246	GCF_020536055.1	
247	GCF_020971785.1	
248	GCF_021128895.1	
249	GCF_021233135.1	
250	GCF_900156245.1	
251	GCF_900245865.1	
252	NZ_KB206086.1	
253	KB206086.1	
254	NZ_DF836091.1	
255	NZ_KN723307.1	
